FID,Station_ID,Latitude,Longitude,Input_FID,Area
0,20136,-42.575,172.425,5431,2.27994
1,21375,-34.525,172.775,6663,3.71874
2,28846,-36.725,175.775,9156,3.54449
3,30904,-38.975,175.625,11214,2.40419
4,20166,-41.225,173.025,5460,2.32798
5,27828,-41.175,175.975,8138,2.79927
6,21123,-43.475,172.675,6413,3.0391
7,13356,-43.475,169.775,1867,2.042
8,12798,-45.525,166.725,1387,2.9417
9,13576,-45.675,169.825,2066,2.16491
10,7601,-47.175,167.775,241,1.35225
11,11742,-45.975,166.575,1173,1.79894
12,9291,-46.075,168.225,608,2.14938
13,13588,-46.125,169.825,2075,2.14796
14,15250,-45.025,171.075,3560,1.251
15,12942,-44.975,169.575,1497,2.1912
16,8808,-44.925,167.975,492,2.19334
17,13523,-43.875,169.925,2020,2.23261
18,18280,-43.925,171.475,4007,2.23064
19,20251,-43.875,172.975,5543,2.46341
20,21359,-42.825,172.725,6647,2.27094
21,19700,-42.775,171.225,4996,2.27304
22,15617,-41.775,171.525,3883,2.24134
23,20176,-41.675,173.025,5469,2.31204
24,30916,-40.525,175.675,11226,2.35229
25,21131,-40.525,172.725,6421,3.65613
26,24862,-39.425,174.475,7183,2.38932
27,29372,-39.425,175.925,9682,2.38928
28,29079,-38.175,178.325,9389,2.43679
29,30053,-38.225,177.025,10363,2.42959
30,27201,-38.275,175.575,7511,2.42744
31,21804,-37.125,174.575,7092,1.81577
32,29898,-37.175,175.825,10208,2.4624
33,28100,-36.075,174.125,8410,2.49947
34,20272,-34.875,173.075,5564,1.89724
35,20581,-34.975,173.575,5873,4.09913
36,21612,-35.375,174.325,6900,2.45023
37,30154,-35.375,173.875,10464,2.52116
38,20389,-35.375,173.325,5681,2.52159
39,30137,-35.825,173.625,10447,1.34109
40,30722,-35.825,174.125,11032,2.50727
41,29810,-36.275,175.475,10120,3.93933
42,28159,-36.225,175.075,8469,3.09683
43,21660,-36.275,174.375,6948,2.10084
44,28084,-36.225,173.975,8394,1.48312
45,21810,-36.725,174.725,7098,2.67148
46,30255,-36.775,175.175,10565,1.63798
47,29309,-37.175,175.575,9619,2.28476
48,29164,-37.175,174.975,9474,2.46379
49,26929,-37.575,174.775,7287,1.73763
50,29758,-37.625,175.275,10068,2.44895
51,29363,-37.625,175.875,9673,2.44896
52,27904,-37.625,176.425,8214,7.22994
53,28036,-37.575,178.125,8346,2.47758
54,30675,-37.925,178.375,10985,2.61597
55,31155,-37.975,177.875,11465,2.43847
56,30066,-38.025,177.275,10376,2.80602
57,31087,-38.025,176.725,11397,2.43603
58,30472,-38.025,176.175,10782,2.4358
59,28268,-38.075,175.575,8578,2.43406
60,28647,-38.075,175.025,8957,2.43417
61,27041,-38.525,174.775,7351,2.41935
62,28206,-38.525,175.325,8516,2.41917
63,27272,-38.525,175.875,7582,2.41917
64,28960,-38.475,176.475,9270,2.42102
65,29533,-38.475,177.025,9843,2.42133
66,29572,-38.425,177.625,9882,2.42343
67,28548,-38.425,178.175,8858,2.4239
68,27499,-38.875,177.875,7809,2.95624
69,30602,-38.925,177.325,10912,2.40674
70,28997,-38.925,176.775,9307,2.40631
71,31015,-38.925,176.175,11325,2.40599
72,29188,-38.975,175.075,9498,2.40422
73,24831,-38.975,174.475,7174,2.89332
74,30165,-39.075,174.025,10475,1.63641
75,29668,-39.425,174.175,9978,2.38951
76,30730,-39.425,174.775,11040,2.3892
77,29253,-39.425,175.375,9563,2.38914
78,30516,-39.375,176.525,10826,2.39127
79,27446,-39.275,176.975,7756,2.71774
80,31091,-39.825,176.825,11401,2.37665
81,31020,-39.825,176.225,11330,2.37613
82,28287,-39.875,175.675,8597,2.37414
